OA11CD,LSOA11CD,All Ages
E00073539,E01014560,"215"
E00073542,E01014560,"343"
E00073543,E01014560,"325"
E00073536,E01014561,"232"
E00073537,E01014561,"368"
E00073538,E01014561,"289"
E00073547,E01014561,"274"
E00073552,E01014561,"304"
E00073553,E01014561,"273"
E00073541,E01014562,"325"
E00073544,E01014562,"296"
E00073546,E01014562,"433"
E00073550,E01014562,"387"
E00073551,E01014562,"383"
E00073520,E01014563,"312"
E00073525,E01014563,"344"
E00073545,E01014563,"384"
E00073548,E01014563,"466"
E00073549,E01014563,"339"
E00073574,E01014564,"420"
E00073576,E01014564,"410"
E00073577,E01014564,"377"
E00073578,E01014564,"398"
E00073584,E01014564,"318"
E00073560,E01014565,"360"
E00073579,E01014565,"300"
E00073581,E01014565,"398"
E00073582,E01014565,"398"
E00073585,E01014565,"384"
E00073588,E01014565,"144"
E00073580,E01014566,"441"
E00073583,E01014566,"315"
E00073586,E01014566,"260"
E00073587,E01014566,"329"
E00073589,E01014566,"164"
E00073591,E01014566,"294"
E00073590,E01014567,"530"
E00073592,E01014567,"343"
E00073593,E01014567,"287"
E00073594,E01014567,"297"
E00073595,E01014567,"302"
E00073596,E01014567,"346"
E00073565,E01014568,"536"
E00073566,E01014568,"201"
